course_id,title,skill_tag,level,duration_hours,platform,link
PY_09_04,freeCodeCamp: Scientific Computing with Python,Data Science Libraries (NumPy/Pandas),High,15,freeCodeCamp,https://www.freecodecamp.org/learn/scientific-computing-with-python/
PY_10_01,Django Tutorial,Web Frameworks (Django/Flask),Beginner,3,Django,https://docs.djangoproject.com/en/stable/intro/tutorial01/
PY_10_02,Flask: Quickstart,Web Frameworks (Django/Flask),Easy,6,Flask,https://flask.palletsprojects.com/en/latest/quickstart/
PY_10_03,Django Girls Tutorial,Web Frameworks (Django/Flask),Medium,10,Django Girls,https://tutorial.djangogirls.org/en/
PY_10_04,Real Python: Flask by Example,Web Frameworks (Django/Flask),High,15,Real Python,https://realpython.com/flask-by-example-part-1-project-setup/
PY_11_01,pytest Documentation,Testing (pytest),Beginner,3,pytest,https://docs.pytest.org/en/stable/
PY_11_02,Real Python: Testing With pytest,Testing (pytest),Easy,6,Real Python,https://realpython.com/pytest-python-testing/
PY_11_03,GeeksforGeeks: Python Testing Using pytest,Testing (pytest),Medium,10,GeeksforGeeks,https://www.geeksforgeeks.org/python-testing-using-pytest/
PY_11_04,Python Docs: unittest,Testing (pytest),High,15,Python.org,https://docs.python.org/3/library/unittest.html
PY_12_01,Python Docs: asyncio,Async Programming (asyncio),Beginner,3,Python.org,https://docs.python.org/3/library/asyncio.html
PY_12_02,Real Python: Async IO in Python,Async Programming (asyncio),Easy,6,Real Python,https://realpython.com/async-io-python/
PY_12_03,GeeksforGeeks: asyncio in Python,Async Programming (asyncio),Medium,10,GeeksforGeeks,https://www.geeksforgeeks.org/asyncio-in-python/
PY_12_04,FastAPI: Async Documentation,Async Programming (asyncio),High,15,FastAPI,https://fastapi.tiangolo.com/async/
PY_13_01,Automate the Boring Stuff with Python,Python for Automation/Scripting,Beginner,3,Al Sweigart,https://automatetheboringstuff.com/
PY_13_02,Real Python: Best Practices Tutorials,Python for Automation/Scripting,Easy,6,Real Python,https://realpython.com/tutorials/best-practices/
PY_13_03,GeeksforGeeks: Python Automation Tutorial,Python for Automation/Scripting,Medium,10,GeeksforGeeks,https://www.geeksforgeeks.org/python-automation-tutorial/
PY_13_04,W3Schools Python Tutorial,Python for Automation/Scripting,High,15,W3Schools,https://www.w3schools.com/python/
PY_14_01,LeetCode Practice Platform,Python Interview Prep / DSA in Python,Beginner,3,LeetCode,https://leetcode.com/
PY_14_02,GeeksforGeeks Interview Questions,Python Interview Prep / DSA in Python,Easy,6,GeeksforGeeks,https://www.geeksforgeeks.org/python-interview-questions/
PY_14_03,HackerRank Practice,Python Interview Prep / DSA in Python,Medium,10,HackerRank,https://www.hackerrank.com/domains/python
PY_14_04,roadmap.sh Interview Guides,Python Interview Prep / DSA in Python,High,15,roadmap.sh,https://roadmap.sh/guides
